time,magnitude,latitude,longitude,depth_km
2001-04-25T14:40:06.040Z,5.7,32.824,132.023,33.0
2001-04-26T17:48:57.470Z,6.0,43.097,145.923,86.0
2001-04-30T02:02:02.420Z,5.5,43.881,147.392,47.9
2001-05-07T14:32:52.170Z,5.2,27.315,128.346,55.7
2001-05-12T03:32:55.910Z,5.1,30.489,130.907,33.0
2001-05-13T23:17:34.140Z,5.0,27.872,126.716,53.5
2001-05-21T05:25:22.490Z,5.0,40.969,143.092,33.0
2001-05-25T00:40:50.600Z,6.7,44.268,148.393,33.0
2001-05-25T01:53:47.280Z,5.1,44.155,148.574,33.0
2001-05-25T02:49:13.880Z,5.0,44.323,148.533,33.0
2001-05-25T06:55:03.440Z,5.0,35.637,140.576,45.4
2001-05-25T08:24:08.820Z,5.1,44.117,148.428,33.0
2001-05-29T02:10:11.080Z,5.2,44.318,148.476,33.0
2001-06-12T22:41:27.880Z,5.3,44.185,148.578,33.0
2001-06-13T13:17:55.150Z,5.6,24.463,122.397,77.5
2001-06-14T02:35:25.810Z,5.9,24.513,122.033,32.1
2001-06-24T13:18:51.710Z,6.0,44.189,148.51,33.0
2001-06-26T09:46:16.620Z,5.3,43.652,147.123,58.8
2001-07-01T00:58:02.120Z,5.1,28.094,130.132,33.0
2001-07-02T05:56:27.850Z,5.2,28.145,129.963,33.0
2001-07-04T09:25:09.110Z,5.0,32.104,139.5,33.0
2001-07-04T09:48:31.860Z,5.6,32.153,139.6,33.0
2001-07-04T10:23:31.900Z,5.5,32.192,139.497,33.0
2001-07-04T17:47:45.000Z,5.9,32.156,139.545,33.0
2001-07-05T01:41:18.090Z,5.7,32.163,139.581,33.0
2001-07-05T02:05:49.320Z,5.3,32.249,139.581,33.0
2001-07-05T02:15:42.080Z,5.3,32.161,139.615,33.0
2001-07-05T02:33:25.980Z,5.0,32.301,139.712,33.0
2001-07-05T03:47:31.930Z,5.6,32.214,139.538,33.0
2001-07-05T05:08:30.540Z,5.2,32.39,139.508,33.0
2001-07-05T05:41:22.420Z,5.1,32.422,139.576,33.0
2001-07-05T13:12:06.580Z,5.1,43.029,145.18,91.8
2001-07-06T11:33:51.090Z,5.5,44.512,149.325,50.9
2001-07-10T11:26:32.940Z,5.4,28.001,130.123,33.0
2001-07-10T11:28:54.330Z,5.0,27.82,130.34,33.0
2001-07-31T04:59:19.500Z,5.1,36.035,141.489,33.0
